description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
young japanese seaman jump ship coast georgia wash ashore barrier island inhabited strange mix redneck descendent slave genteel retired people colony artist result sexy savagely hilarious tragicomedy thwarted expectation mistaken identity love jealousy betrayal absolutely stunning work full brilliant crosscultural insightsthe new york time book review,384,east is east,t. coraghessan boyle,1991,http://books.google.com/books/content?id=5DHuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2890,26,
examines social implication psychological impact image convention modern classical artist,176,ways of seeing,john berger;sven blomberg;chris fox;michael dibb;richard hollis,1972,http://books.google.com/books/content?id=5gpxxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,art,2734,26,
bo mason wife two boy live transient life poverty despair drifting town town violent ruthless bo seek fortune stegner created masterful harrowing saga family trying survive lean year early 20th century,563,the big rock candy mountain,wallace stegner,1943,http://books.google.com/books/content?id=Je5dOcy2HF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2127,20,
retired literary agent joe allston pass life spectator discovers journal trip took mother birthplace year,214,the spectator bird,wallace earle stegner;wallace stegner,1976,http://books.google.com/books/content?id=GC7SyeJDDyEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1294,28,
alaska film famous childrens book crew bigbucks hollywood production company encounter tribe people little contact white author one flew cuckoo nest reprint,533,sailor song,ken kesey,1993,http://books.google.com/books/content?id=-pPSOhBxFSkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2343,21,
reissuse volume 2 best young british novelist run latest volume originally published 1993 feature work iain bank louis de bernieres anne billson tibor fischer esther freud alan hollinghurst kazuo ishiguro al kennedy philip kerr hanif kureishi adam lively adam marsjones candia mcwilliam lawrence norfolk ben okri caryl phillips self nicholas shakespeare helen simpson jeanette winterson,320,the best of young british novelists,bill buford,1993,http://books.google.com/books/content?id=koR6QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2165,23,
author recount experience lucrative wall street bond market 1980s young trader made million quickly easily humorous account greed epic folly,256,liar's poker,michael m. lewis,1990,http://books.google.com/books/content?id=eboqx4Fm0zkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2951,20,
trace history england end roman rule norman conquest,272,the anglo-saxons,james campbell,1991,http://books.google.com/books/content?id=-yGW7fkkAroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,2124,29,
working day january 29 november 1 1951 john steinbeck warmed work writing east eden letter late pascal covici friend editor viking press way said getting mental arm shape pitch good game steinbeck letter written lefthand page notebook facing page would filled test east eden touched many subjectsstory argument trial flight worknamship concern son part autobiography part writer workshop letter offer illuminating perspective steinbeck creative process fascinating glimpse steinbeck private man,182,journal of a novel,john steinbeck,1969,http://books.google.com/books/content?id=EYVy6y3GHj0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,1756,21,
compilation work irish writer contains variety poem story excerpt novel,762,the portable james joyce,james joyce,1985,http://books.google.com/books/content?id=LSv3AKlD2OsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,2617,23,
one quotable twentiethcentury author dorothy parker attained wideranging enthusiastic following revised enlarged edition introduction brendan gill comprises original 1944 portable selected arranged dorothy parker including celebrated poem story along selection later story play review article book review esquire complete constant reader collected new yorker book reviewsto say mr parker writes well fatuous afraid proclaiming cellini clever hand mr parker eye people ear language feeling lithe thing life immense part process living ogden nashshe put written voice state mind era moment human experience nobody else conveyed edmund wilson,610,the portable dorothy parker,dorothy parker,1976,http://books.google.com/books/content?id=WHN3-tctBZ8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,1853,28,
reclusive writer bill gray escape failed novel world political violence terror story journey new york london athens ultimately bombedout city beirut,254,mao ii,don delillo,1992,http://books.google.com/books/content?id=t0v7jxGuSh4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1811,27,
eve world war ii egyptian city alexandria exiled irish schoolteacher becomes involved justine jewish wife coptic christian,253,justine,lawrence durrell,1991,http://books.google.com/books/content?id=zuK-PBDV50QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2755,28,
war irish emigre darley becomes involved clea bisexual artist,288,clea,lawrence durrell,1991,http://books.google.com/books/content?id=ok_gyOGqlYwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1881,28,
exceptional los angeles time tale fate loyalty responsibility real meaning freedom author forthcoming 4 3 2 1 novel finalist penfaulkner award rich dazzling wall street journal novel follows jim nashe squandering unexpected inheritance pick young gambler named jack pozzi hoping con two millionaire plan backfire jim jack indentured elusive mark forced build meaningless wall brick gathered ruin irish castle time pass debt mount anger build two struggle dig kafkaesque serfdom new york timesbestselling author paul auster new york trilogy brings u back strange shapeshifting world fiendish bargain punitive whim chance powerful yet unpredictable force,217,the music of chance,paul auster,1991,http://books.google.com/books/content?id=gf_sRKKiwgwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2543,29,
scheme two disgruntled cia agent stage unsuccessful attempt life president kennedy link cuba backfire erratic lee harvey oswald go far,480,libra,don delillo,1991,http://books.google.com/books/content?id=Vw1NGVkbEyAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2074,30,
surrealistic novel dictatorship cuban version george orwell 1984 protagonist counterwhispering agent whose task ferret people spreading rumor inimical regime author night fall,176,the assault,reinaldo arenas;andrew hurley,1995,http://books.google.com/books/content?id=FtyzjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2901,28,
